"","Incident.Number","CalendarYear","Month","IncDate","Call_Type","Problem","ResponseArea","Jurisdiction","PriorityDescription","Council_District","Location","Date","dateDay","month","day","season","Fire_Type"
"1101",22024713,2022,"Feb","02/18/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0101","AFD","3F","9","(-97.739639,30.258003)",2022-02-18,"02-18",2,18,"Winter","TRASH"
"1102",22024714,2022,"Feb","02/18/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2402","AFD","3F","2","(-97.731155,30.191283)",2022-02-18,"02-18",2,18,"Winter","TRASH"
"1103",22024717,2022,"Feb","02/18/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2301","AFD","3F","4","(-97.687501,30.357900)",2022-02-18,"02-18",2,18,"Winter","TRASH"
"1104",22024734,2022,"Feb","02/18/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3701","AFD","3F","8","(-97.882991,30.247121)",2022-02-18,"02-18",2,18,"Winter","GRASS"
"1105",22024757,2022,"Feb","02/18/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2401","AFD","3F","2","(-97.747660,30.191609)",2022-02-18,"02-18",2,18,"Winter","TRASH"
"1106",22024759,2022,"Feb","02/18/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-4101","AFD","3F","1","(-97.609469,30.345674)",2022-02-18,"02-18",2,18,"Winter","ELEC"
"1107",22024820,2022,"Feb","02/19/2022 12:00:00 AM","Fire","BOXL- Structure Fire","00-4003","AFD","1F","1","(-97.651842,30.381602)",2022-02-19,"02-19",2,19,"Winter","BOXL"
"1108",22024823,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2203","AFD","3F","3","(-97.715135,30.237459)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1109",22024827,2022,"Feb","02/19/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-3003","AFD","3F","7","(-97.676309,30.392821)",2022-02-19,"02-19",2,19,"Winter","DUMP"
"1110",22024843,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0805","AFD","3F","7","(-97.730896,30.356155)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1111",22024859,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3003","AFD","3F","7","(-97.679610,30.397598)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1112",22024875,2022,"Feb","02/19/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-3003","AFD","3F","7","(-97.676309,30.392821)",2022-02-19,"02-19",2,19,"Winter","DUMP"
"1113",22024900,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2801","AFD","3F","7","(-97.677968,30.409447)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1114",22024903,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1404","AFD","3F","9","(-97.713858,30.301032)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1115",22024942,2022,"Feb","02/19/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2203","AFD","3F","3","(-97.712375,30.241513)",2022-02-19,"02-19",2,19,"Winter","GRASS"
"1116",22024944,2022,"Feb","02/19/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-4305","AFD","2F","8","(-97.870674,30.185664)",2022-02-19,"02-19",2,19,"Winter","AUTO"
"1117",22024949,2022,"Feb","02/19/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-2205","AFD","2F","3","(-97.697830,30.222557)",2022-02-19,"02-19",2,19,"Winter","AUTO"
"1118",22024980,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2203","AFD","3F","3","(-97.714063,30.245700)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1119",22024981,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2202","AFD","3F","3","(-97.717244,30.242517)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1120",22025028,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0701","AFD","3F","3","(-97.723591,30.259330)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1121",22025044,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1504","AFD","3F","1","(-97.714080,30.268570)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1122",22025082,2022,"Feb","02/19/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1708","AFD","3F","3","(-97.764171,30.222480)",2022-02-19,"02-19",2,19,"Winter","GRASS"
"1123",22025104,2022,"Feb","02/19/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3001","AFD","3F","4","(-97.704577,30.386515)",2022-02-19,"02-19",2,19,"Winter","GRASS"
"1124",22025112,2022,"Feb","02/19/2022 12:00:00 AM","Fire","BBQ - Unsafe Cooking","00-3001","AFD","4F","4","(-97.710693,30.380841)",2022-02-19,"02-19",2,19,"Winter","BBQ"
"1125",22025114,2022,"Feb","02/19/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1706","AFD","3F","3","(-97.769846,30.240442)",2022-02-19,"02-19",2,19,"Winter","GRASS"
"1126",22025120,2022,"Feb","02/19/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-1710","AFD","3F","3","(-97.773940,30.206803)",2022-02-19,"02-19",2,19,"Winter","ELEC"
"1127",22025157,2022,"Feb","02/19/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-4401","AFD","3F","10","(-97.760071,30.427597)",2022-02-19,"02-19",2,19,"Winter","GRASS"
"1128",22025158,2022,"Feb","02/19/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2501","AFD","3F","10","(-97.759830,30.427490)",2022-02-19,"02-19",2,19,"Winter","GRASS"
"1129",22025169,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2401","AFD","3F","2","(-97.758897,30.194461)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1130",22025183,2022,"Feb","02/19/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-0603","AFD","3F","-","(-97.758446,30.241563)",2022-02-19,"02-19",2,19,"Winter","DUMP"
"1131",22025190,2022,"Feb","02/19/2022 12:00:00 AM","Fire","BBQ - Unsafe Cooking","00-4403","AFD","4F","6","(-97.768749,30.438202)",2022-02-19,"02-19",2,19,"Winter","BBQ"
"1132",22025197,2022,"Feb","02/19/2022 12:00:00 AM","Fire","BBQ - Unsafe Cooking","00-2807","AFD","4F","6","(-97.747667,30.441895)",2022-02-19,"02-19",2,19,"Winter","BBQ"
"1133",22025203,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0501","AFD","3F","1","(-97.685504,30.277642)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1134",22025222,2022,"Feb","02/19/2022 12:00:00 AM","Fire","BOXL- Structure Fire","00-3502","AFD","1F","3","(-97.742148,30.222319)",2022-02-19,"02-19",2,19,"Winter","BOXL"
"1135",22025225,2022,"Feb","02/19/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-0804","AFD","1F","7","(-97.725252,30.358070)",2022-02-19,"02-19",2,19,"Winter","BOXS"
"1136",22025232,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3503","AFD","3F","3","(-97.727776,30.227462)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1137",22025245,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0701","AFD","3F","3","(-97.727074,30.256916)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1138",22025248,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","04-2604","AFD","3F","-","(-97.623299,30.269689)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1139",22025251,2022,"Feb","02/19/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-0501","AFD","2F","1","(-97.671515,30.286718)",2022-02-19,"02-19",2,19,"Winter","AUTO"
"1140",22025257,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3601","AFD","3F","2","(-97.788416,30.168612)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1141",22025273,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2402","AFD","3F","2","(-97.758653,30.204466)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1142",22025278,2022,"Feb","02/19/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-4402","AFD","3F","6","(-97.776063,30.437913)",2022-02-19,"02-19",2,19,"Winter","ELEC"
"1143",22025325,2022,"Feb","02/19/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0501","AFD","3F","1","(-97.685534,30.277219)",2022-02-19,"02-19",2,19,"Winter","TRASH"
"1144",22025395,2022,"Feb","02/20/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-4906","AFD","1F","2","(-97.764189,30.137736)",2022-02-20,"02-20",2,20,"Winter","BOXS"
"1145",22025408,2022,"Feb","02/20/2022 12:00:00 AM","Fire","BOXL- Structure Fire","00-3503","AFD","1F","3","(-97.724988,30.224966)",2022-02-20,"02-20",2,20,"Winter","BOXL"
"1146",22025412,2022,"Feb","02/20/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3604","AFD","3F","5","(-97.788224,30.164157)",2022-02-20,"02-20",2,20,"Winter","GRASS"
"1147",22025415,2022,"Feb","02/20/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-4002","AFD","2F","1","(-97.648592,30.387004)",2022-02-20,"02-20",2,20,"Winter","AUTO"
"1148",22025424,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2203","AFD","3F","3","(-97.715020,30.245995)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1149",22025431,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1104","AFD","3F","9","(-97.755138,30.263744)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1150",22025444,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0501","AFD","3F","1","(-97.685534,30.277219)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1151",22025491,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0102","AFD","3F","9","(-97.741967,30.262652)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1152",22025492,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2403","AFD","3F","2","(-97.751717,30.168078)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1153",22025516,2022,"Feb","02/20/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2206","AFD","3F","3","(-97.709885,30.212745)",2022-02-20,"02-20",2,20,"Winter","GRASS"
"1154",22025522,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3701","AFD","3F","8","(-97.888308,30.247001)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1155",22025543,2022,"Feb","02/20/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-1603","AFD","3F","4","(-97.715801,30.335706)",2022-02-20,"02-20",2,20,"Winter","ELEC"
"1156",22025569,2022,"Feb","02/20/2022 12:00:00 AM","Fire","AUTO - Auto Fire","04-2610","AFD","2F","-","(-97.638803,30.326064)",2022-02-20,"02-20",2,20,"Winter","AUTO"
"1157",22025588,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2803","AFD","3F","7","(-97.691082,30.413329)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1158",22025642,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-4302","AFD","3F","8","(-97.896783,30.188430)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1159",22025647,2022,"Feb","02/20/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-1504","AFD","3F","1","(-97.714103,30.267953)",2022-02-20,"02-20",2,20,"Winter","GRASS"
"1160",22025649,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-4302","AFD","3F","8","(-97.896783,30.188430)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1161",22025653,2022,"Feb","02/20/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-4005","AFD","2F","7","(-97.669925,30.432234)",2022-02-20,"02-20",2,20,"Winter","AUTO"
"1162",22025668,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-4302","AFD","3F","8","(-97.896785,30.188327)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1163",22025680,2022,"Feb","02/20/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-0201","AFD","1F","9","(-97.747991,30.286479)",2022-02-20,"02-20",2,20,"Winter","BOXS"
"1164",22025687,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-5101","AFD","3F","8","(-97.828765,30.236979)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1165",22025690,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1705","AFD","3F","5","(-97.796147,30.233347)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1166",22025695,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1701","AFD","3F","3","(-97.769339,30.225964)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1167",22025748,2022,"Feb","02/20/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3203","AFD","3F","8","(-97.787527,30.257947)",2022-02-20,"02-20",2,20,"Winter","TRASH"
"1168",22025783,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2502","AFD","3F","7","(-97.729414,30.400378)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1169",22025784,2022,"Feb","02/21/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-0505","AFD","2F","1","(-97.658197,30.284439)",2022-02-21,"02-21",2,21,"Winter","AUTO"
"1170",22025798,2022,"Feb","02/21/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-0505","AFD","2F","1","(-97.658197,30.284439)",2022-02-21,"02-21",2,21,"Winter","AUTO"
"1171",22025820,2022,"Feb","02/21/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-0801","AFD","1F","4","(-97.715521,30.372089)",2022-02-21,"02-21",2,21,"Winter","BOX"
"1172",22025838,2022,"Feb","02/21/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-0803","AFD","3F","4","(-97.703232,30.355977)",2022-02-21,"02-21",2,21,"Winter","DUMP"
"1173",22025851,2022,"Feb","02/21/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-2801","AFD","3F","7","(-97.692731,30.415388)",2022-02-21,"02-21",2,21,"Winter","ELEC"
"1174",22025924,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3001","AFD","3F","4","(-97.694429,30.381536)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1175",22025939,2022,"Feb","02/21/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-4902","AFD","3F","5","(-97.789847,30.157594)",2022-02-21,"02-21",2,21,"Winter","ELEC"
"1176",22025953,2022,"Feb","02/21/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","04-2609","AFD","3F","-","(-97.606561,30.265360)",2022-02-21,"02-21",2,21,"Winter","GRASS"
"1177",22025961,2022,"Feb","02/21/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","04-2607","AFD","3F","-","(-97.609176,30.281631)",2022-02-21,"02-21",2,21,"Winter","GRASS"
"1178",22025966,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2202","AFD","3F","3","(-97.724632,30.232941)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1179",22026033,2022,"Feb","02/21/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-4203","AFD","3F","2","(-97.647110,30.179375)",2022-02-21,"02-21",2,21,"Winter","GRASS"
"1180",22026043,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-3502","AFD","3F","3","(-97.742353,30.220781)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1181",22026058,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0101","AFD","3F","-","(-97.734299,30.267725)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1182",22026069,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1706","AFD","3F","3","(-97.758726,30.232027)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1183",22026083,2022,"Feb","02/21/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-0102","AFD","1F","9","(-97.744846,30.269655)",2022-02-21,"02-21",2,21,"Winter","BOXS"
"1184",22026084,2022,"Feb","02/21/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-2801","AFD","2F","7","(-97.673793,30.414425)",2022-02-21,"02-21",2,21,"Winter","AUTO"
"1185",22026088,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","04-2608","AFD","3F","-","(-97.659426,30.322092)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1186",22026094,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1406","AFD","3F","9","(-97.715981,30.303624)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1187",22026099,2022,"Feb","02/21/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-2206","AFD","1F","3","(-97.693662,30.220200)",2022-02-21,"02-21",2,21,"Winter","BOX"
"1188",22026142,2022,"Feb","02/21/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-4001","AFD","1F","7","(-97.658906,30.397065)",2022-02-21,"02-21",2,21,"Winter","BOXS"
"1189",22026147,2022,"Feb","02/21/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-1801","AFD","1F","1","(-97.687625,30.321049)",2022-02-21,"02-21",2,21,"Winter","BOXS"
"1190",22026152,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0803","AFD","3F","4","(-97.700108,30.357647)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1191",22026157,2022,"Feb","02/21/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-0801","AFD","3F","4","(-97.715521,30.372089)",2022-02-21,"02-21",2,21,"Winter","ELEC"
"1192",22026201,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2706","AFD","3F","8","(-97.871223,30.233992)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1193",22026211,2022,"Feb","02/21/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0501","AFD","3F","1","(-97.685534,30.277219)",2022-02-21,"02-21",2,21,"Winter","TRASH"
"1194",22026228,2022,"Feb","02/22/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-1803","AFD","2F","1","(-97.706059,30.321698)",2022-02-22,"02-22",2,22,"Winter","AUTO"
"1195",22026231,2022,"Feb","02/22/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0604","AFD","3F","9","(-97.753762,30.263245)",2022-02-22,"02-22",2,22,"Winter","TRASH"
"1196",22026236,2022,"Feb","02/22/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-0701","AFD","1F","1","(-97.719372,30.272815)",2022-02-22,"02-22",2,22,"Winter","BOX"
"1197",22026239,2022,"Feb","02/22/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1707","AFD","3F","3","(-97.754925,30.222448)",2022-02-22,"02-22",2,22,"Winter","TRASH"
"1198",22026299,2022,"Feb","02/22/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-4401","AFD","3F","10","(-97.776628,30.425308)",2022-02-22,"02-22",2,22,"Winter","ELEC"
"1199",22026318,2022,"Feb","02/22/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-0803","AFD","3F","4","(-97.705293,30.353609)",2022-02-22,"02-22",2,22,"Winter","ELEC"
"1200",22026331,2022,"Feb","02/22/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-3404","AFD","3F","6","(-97.789372,30.476973)",2022-02-22,"02-22",2,22,"Winter","ELEC"
"1201",22026349,2022,"Feb","02/22/2022 12:00:00 AM","Fire","BOXL- Structure Fire","00-1804","AFD","1F","4","(-97.694730,30.327201)",2022-02-22,"02-22",2,22,"Winter","BOXL"
"1202",22026456,2022,"Feb","02/22/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3502","AFD","3F","3","(-97.730012,30.223857)",2022-02-22,"02-22",2,22,"Winter","GRASS"
"1203",22026459,2022,"Feb","02/22/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-2204","AFD","2F","3","(-97.700182,30.230111)",2022-02-22,"02-22",2,22,"Winter","AUTO"
"1204",22026477,2022,"Feb","02/22/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-2803","AFD","2F","7","(-97.678230,30.407827)",2022-02-22,"02-22",2,22,"Winter","AUTO"
"1205",22026514,2022,"Feb","02/22/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-2803","AFD","3F","7","(-97.690588,30.410742)",2022-02-22,"02-22",2,22,"Winter","ELEC"
"1206",22026549,2022,"Feb","02/22/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2205","AFD","3F","3","(-97.683614,30.230820)",2022-02-22,"02-22",2,22,"Winter","TRASH"
"1207",22026559,2022,"Feb","02/22/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3401","AFD","3F","6","(-97.790402,30.465514)",2022-02-22,"02-22",2,22,"Winter","GRASS"
"1208",22026560,2022,"Feb","02/22/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-2806","AFD","3F","7","(-97.703154,30.426250)",2022-02-22,"02-22",2,22,"Winter","GRASS"
"1209",22026582,2022,"Feb","02/22/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3001","AFD","3F","4","(-97.699226,30.366369)",2022-02-22,"02-22",2,22,"Winter","GRASS"
"1210",22026586,2022,"Feb","02/22/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0202","AFD","3F","9","(-97.744136,30.274840)",2022-02-22,"02-22",2,22,"Winter","TRASH"
"1211",22026598,2022,"Feb","02/22/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1401","AFD","3F","9","(-97.698939,30.303832)",2022-02-22,"02-22",2,22,"Winter","TRASH"
"1212",22026608,2022,"Feb","02/22/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-2608","AFD","3F","1","(-97.651099,30.301627)",2022-02-22,"02-22",2,22,"Winter","ELEC"
"1213",22026610,2022,"Feb","02/22/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0501","AFD","3F","1","(-97.685534,30.277219)",2022-02-22,"02-22",2,22,"Winter","TRASH"
"1214",22026613,2022,"Feb","02/22/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-1601","AFD","3F","7","(-97.718153,30.350122)",2022-02-22,"02-22",2,22,"Winter","ELEC"
"1215",22026618,2022,"Feb","02/22/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2901","AFD","3F","8","(-97.849350,30.184343)",2022-02-22,"02-22",2,22,"Winter","TRASH"
"1216",22026633,2022,"Feb","02/22/2022 12:00:00 AM","Fire","GRASS - Small Grass Fire","00-3001","AFD","3F","4","(-97.693426,30.382340)",2022-02-22,"02-22",2,22,"Winter","GRASS"
"1217",22026634,2022,"Feb","02/22/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-0804","AFD","3F","7","(-97.718512,30.350281)",2022-02-22,"02-22",2,22,"Winter","ELEC"
"1218",22026646,2022,"Feb","02/22/2022 12:00:00 AM","Fire","BOX -Structure Fire","00-2306","AFD","1F","4","(-97.691951,30.352645)",2022-02-22,"02-22",2,22,"Winter","BOX"
"1219",22026698,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2306","AFD","3F","4","(-97.697022,30.363140)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1220",22026701,2022,"Feb","02/23/2022 12:00:00 AM","Fire","DUMP - Dumpster Fire","00-2601","AFD","3F","1","(-97.626021,30.294255)",2022-02-23,"02-23",2,23,"Winter","DUMP"
"1221",22026712,2022,"Feb","02/23/2022 12:00:00 AM","Fire","ELEC - Electrical Fire","00-2806","AFD","3F","7","(-97.717266,30.417938)",2022-02-23,"02-23",2,23,"Winter","ELEC"
"1222",22026717,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-0101","AFD","3F","3","(-97.735872,30.261024)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1223",22026729,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2205","AFD","3F","3","(-97.684235,30.232630)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1224",22026737,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2403","AFD","3F","2","(-97.767899,30.189208)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1225",22026747,2022,"Feb","02/23/2022 12:00:00 AM","Fire","BOXMID -MIDRISE Structure Fire","00-0101","AFD","1F","9","(-97.740000,30.262107)",2022-02-23,"02-23",2,23,"Winter","BOXMID"
"1226",22026765,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-4903","AFD","3F","5","(-97.782944,30.153573)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1227",22026766,2022,"Feb","02/23/2022 12:00:00 AM","Fire","AUTO - Auto Fire","00-3608","AFD","2F","5","(-97.783477,30.157005)",2022-02-23,"02-23",2,23,"Winter","AUTO"
"1228",22026787,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","04-2609","AFD","3F","-","(-97.607958,30.263140)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1229",22026796,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1707","AFD","3F","3","(-97.749564,30.224672)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1230",22026797,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2202","AFD","3F","3","(-97.719551,30.238803)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1231",22026813,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1707","AFD","3F","3","(-97.752363,30.217212)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1232",22026821,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-1801","AFD","3F","1","(-97.688944,30.320855)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1233",22026848,2022,"Feb","02/23/2022 12:00:00 AM","Fire","TRASH - Trash Fire","00-2901","AFD","3F","-","(-97.849809,30.183523)",2022-02-23,"02-23",2,23,"Winter","TRASH"
"1234",22026852,2022,"Feb","02/23/2022 12:00:00 AM","Fire","BOXS - Still Box Alarm","00-4001","AFD","1F","1","(-97.630867,30.401407)",2022-02-23,"02-23",2,23,"Winter","BOXS"
"1235",22026853,2022,"Feb","02/23/2022 12:00:00 AM","Fire","BOXL- Structure Fire","00-2705","AFD","1F","8","(-97.864175,30.208648)",2022-02-23,"02-23",2,23,"Winter","BOXL"
